Datum,Zeit,Stundenaufwand,Beschrieb der Tätigkeit
30.08.2026,18:00-20:30,2.5,Erste Absprache im Team/Aufgabenverteilung/Know-How Aufbau
03.09.2026,19:00-20:30,1.5,Know-How Aufbau / Austausch mit Niklaus Janett
05.09.2026,10:30-16:30,6.0,Tailscale Installation / Austausch mit Niklaus / RaspServ Programmierung / WebGui Programmierung
05.08.2026,18:30-20.30,2.0,Dark Mode aktiviert im WebGui / CSS der Diagramme angepasst / SenseHAT NeoPixel dem WebGui hinzugefügt
06.09.2026,13:30-15:00,1.5,Storensteuerung im WebGui implementiert und Programmierung der Storensteuerung
06.08.2026,21:15-22:00,0.75,READ.me Datei angpeasst und GitHub issues geschlossen
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
