Datum,Zeit,Stundenaufwand,Beschrieb der TÃ¤tigkeit
30.08.2026,18:00-20:30,"AP9 Technischer Bericht - Titelblatt gestaltet, Änderungen an der Vorlage vorgenommen und Projektangaben ergänzt",AP1 Teamsitzung - Aufgabenstellung und Rollenverteilung 
02.09.2026,18:00-20:00,ca. 2 h,AP9 Technischer Bericht - Berichtstruktur und Dokumentvorlage erstellen
10.09.2026,18:00-20:30,ca. 2.5 h,"AP9 Technischer Bericht - Titelblatt gestaltet, Änderungen an der Vorlage vorgenommen und Projektangaben ergänzt"
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
